des_plan|anio_apertura_expediente|abandona|convocatoria_acceso|des_acceso|sexo|municipio|anio_nacimiento_interval|nota_admision_def|expediente|cod_plan
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|D|PLASENCIA|(1985.0, 1990.0]|6.114|133|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|PALMA DEL RÍO|(1990.0, 1995.0]|5.828|137|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.858|138|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Selectividad|D|BERZOCANA|(1990.0, 1995.0]|6.124|140|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Selectividad|D|HERRERA DEL DUQUE|(1990.0, 1995.0]|7.118|142|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|SEP|Selectividad|H|CÁCERES|(1985.0, 1990.0]|5.35|143|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|5.35|147|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|SEP|Selectividad|H|PLASENCIA|(1990.0, 1995.0]|5.47|150|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|SEP|Selectividad|H|CÁCERES|(1985.0, 1990.0]|6.392|152|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|SEP|Selectividad|D|CÁCERES|(1990.0, 1995.0]|5.832|155|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|BADAJOZ|(1985.0, 1990.0]|6.69|165|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|H|ESTELLA-LIZARRA|(1985.0, 1990.0]|5.55|166|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|SEP|Selectividad|H|PLASENCIA|(1990.0, 1995.0]|5.736|170|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.765|178|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|D|CÁCERES|(1990.0, 1995.0]|6.826|181|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|7.482|183|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|D|ARROYO DE SAN SERVÁN|(1990.0, 1995.0]|8.146|189|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|H|VILLANUEVA DE LA SERENA|(1990.0, 1995.0]|7.285|191|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|H|CASAR DE CÁCERES|(1990.0, 1995.0]|7.71|192|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|H|FREGENAL DE LA SIERRA|(1990.0, 1995.0]|7.304|194|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|H|CÁDIZ|(1990.0, 1995.0]|6.761|199|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.31|200|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|H|ANDOAIN|(1990.0, 1995.0]|8.186|201|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|7.422|202|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.11|207|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|D|CORIA|(1990.0, 1995.0]|6.206|208|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|D|MORALEJA|(1990.0, 1995.0]|7.4|213|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|H|LOGROSÁN|(1990.0, 1995.0]|6.644|215|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|5.578|225|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|0|JUN|Selectividad|H|LEÓN|(1985.0, 1990.0]|5.93|226|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|H|PLASENCIA|(1990.0, 1995.0]|6.422|227|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|H|CILLEROS|(1990.0, 1995.0]|5.54|232|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|D|SIERRA DE FUENTES|(1990.0, 1995.0]|5.55|233|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Formación Profesional|H|CÁCERES|(1985.0, 1990.0]|7.14|235|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|H|TORREMOCHA|(1990.0, 1995.0]|5.424|240|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|H|CORIA|(1990.0, 1995.0]|5.65|243|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|H|CÁDIZ|(1990.0, 1995.0]|5.279|244|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.47|253|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|CÁCERES|(1985.0, 1990.0]|6.13|261|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|CÁCERES|(1980.0, 1985.0]|7.38|269|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Selectividad|H|CÁCERES|(1985.0, 1990.0]|5.61|271|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Selectividad|H|CÁCERES|(1985.0, 1990.0]|5.87|272|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Selectividad|H|SAN VICENTE DE ALCÁNTARA|(1985.0, 1990.0]|5.95|278|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|SEP|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|6.014|283|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|SEP|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|8.608|284|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|0|JUN|Selectividad|H|CORIA|(1990.0, 1995.0]|7.218|286|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|D|CÁCERES|(1990.0, 1995.0]|8.024|292|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|D|SEVILLA|(1990.0, 1995.0]|7.626|294|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.168|295|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.65|296|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|H|LA HABA|(1990.0, 1995.0]|11.772|297|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|7.019|298|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|H|CÁDIZ|(1990.0, 1995.0]|6.963|305|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|D|MEDELLÍN|(1990.0, 1995.0]|6.182|308|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|H|CASTUERA|(1990.0, 1995.0]|6.722|309|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|H|PLASENCIA|(1990.0, 1995.0]|5.4|310|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Formación Profesional|H|SANTIAGO DE ALCÁNTARA|(1990.0, 1995.0]|8.36|312|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|SEP|Selectividad|H|MEDELLÍN|(1990.0, 1995.0]|5.422|313|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|0|SEP|Selectividad|H|CORIA|(1990.0, 1995.0]|5.624|316|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|0|JUN|Selectividad|D|SEGOVIA|(1990.0, 1995.0]|5.846|322|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.372|325|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|0|JUN|Selectividad|H|OLIVENZA|(1990.0, 1995.0]|5.592|328|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|0|JUN|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|10.508|330|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|0|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|9.396|339|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.594|342|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|H|CAMPANARIO|(1990.0, 1995.0]|8.422|346|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|8.192|350|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|SEP|Selectividad|D|BADAJOZ|(1990.0, 1995.0]|5.29|353|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|5.164|354|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|SEP|Selectividad|D|BADAJOZ|(1990.0, 1995.0]|5.882|356|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|0|SEP|Selectividad|H|LOS SANTOS DE MAIMONA|(1990.0, 1995.0]|6.174|361|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|0|JUN|Selectividad|H|VILLANUEVA DE LA SERENA|(1990.0, 1995.0]|7.49|362|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|SEP|Selectividad|H|MÉRIDA|(1985.0, 1990.0]|5.636|365|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.808|366|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|SEP|Selectividad|H|VILLANUEVA DE LA SERENA|(1990.0, 1995.0]|6.328|368|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.01|369|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|5.174|371|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|0|SEP|Selectividad|H|CÁCERES|(1985.0, 1990.0]|5.14|376|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2012-13|1|JUN|Selectividad|H|NAVALVILLAR DE PELA|(1985.0, 1990.0]|5.22|380|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|H|MADRIGALEJO|(1990.0, 1995.0]|6.606|415|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|8.168|416|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|JUN|Selectividad|H|ALMENDRALEJO|(1990.0, 1995.0]|8.718|430|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|9.19|431|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|JUN|Selectividad|H|ARROYO DE LA LUZ|(1990.0, 1995.0]|8.744|432|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|JUN|Selectividad|H|LA ZARZA|(1990.0, 1995.0]|9.382|434|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|D|MÉRIDA|(1990.0, 1995.0]|5.546|435|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|JUN|Selectividad|H|CAMPANARIO|(1990.0, 1995.0]|7.86|436|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|JUN|Selectividad|D|GUAREÑA|(1990.0, 1995.0]|7.142|437|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|H|CAMPANARIO|(1990.0, 1995.0]|8.132|438|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|JUN|Selectividad|H|CAMPANARIO|(1990.0, 1995.0]|7.318|442|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|H|JARAÍZ DE LA VERA|(1990.0, 1995.0]|6.39|445|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|H|CALAMONTE|(1990.0, 1995.0]|6.836|448|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|H|JARAÍZ DE LA VERA|(1990.0, 1995.0]|6.414|452|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|7.128|460|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|11.16|467|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|JUN|Selectividad|D|NAVALMORAL DE LA MATA|(1990.0, 1995.0]|10.032|469|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.176|478|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|H|CASAR DE CÁCERES|(1990.0, 1995.0]|8.528|481|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|JUN|Formación Profesional|H|MEDINA DE LAS TORRES|(1990.0, 1995.0]|8.17|482|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.342|485|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|JUN|Selectividad|D|MÉRIDA|(1990.0, 1995.0]|5.411|487|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|SEP|Selectividad|D|VILLAR DE RENA|(1990.0, 1995.0]|8.358|494|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|JUN|Selectividad|D|CÁCERES|(1990.0, 1995.0]|10.3|498|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|SEP|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.332|499|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|SEP|Selectividad|H|ZALAMEA DE LA SERENA|(1990.0, 1995.0]|7.054|512|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|SEP|Selectividad|H|CAMPANARIO|(1990.0, 1995.0]|5.482|515|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|1|SEP|Selectividad|D|NAVALMORAL DE LA MATA|(1990.0, 1995.0]|5.954|522|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2013-14|0|SEP|Selectividad|H|MALPARTIDA DE CÁCERES|(1990.0, 1995.0]|5.024|523|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2014-15|0|JUN|Selectividad|H|MÉRIDA|(1995.0, 2000.0]|8.614|581|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2014-15|1|JUN|Selectividad|D|BADAJOZ|(1990.0, 1995.0]|5.792|590|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2014-15|0|JUN|Selectividad|H|CÁCERES|(1995.0, 2000.0]|12.258|594|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2014-15|0|JUN|Selectividad|H|CÁCERES|(1995.0, 2000.0]|10.236|596|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2014-15|1|JUN|Selectividad|H|NAVALMORAL DE LA MATA|(1990.0, 1995.0]|5.796|600|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2014-15|0|JUN|Formación Profesional|H|VILLAFRANCA DE LOS BARROS|(1985.0, 1990.0]|7.92|604|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2014-15|0|JUN|Selectividad|D|VALLE DE MATAMOROS|(1995.0, 2000.0]|6.626|607|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2014-15|0|JUN|Selectividad|D|VILLAFRANCA DE LOS BARROS|(1995.0, 2000.0]|11.892|609|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2014-15|1|JUN|Selectividad|H|LLERENA|(1990.0, 1995.0]|6.542|610|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2014-15|0|JUN|Selectividad|H|HERNÁN CORTÉS|(1995.0, 2000.0]|8.582|613|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2014-15|1|JUN|Selectividad|D|CALAMONTE|(1995.0, 2000.0]|6.474|619|1623
